Id;SplBatch;SplMass;StdC23;Origin;Group;SamplingDate;C14.0;C15.0iso;C15.0anteiso;C15.0;C16.0iso;C16.0;C16.1w7;C18.0;C18.1w9;C18.1w7;C18.2w6;C19.0;C18.3w3;C18.4w3;C20.0;C20.1w9;C20.1w7;C20.2w6;C21.0;C20.4w6;C20.5w3;C22.0;C22:1w11;C22.1w9;C23.0;C23.1w9;C22.5w6;C22.6w3;C24.1w9
HF_F02GL12;1;58.3;30;BornW;Wild;16/03/2020;30.31;25.86;13.15;8.83;13.37;79.4;40.73;80.06;53.86;63.68;30.2;30.16;14.08;16.52;59.57;208.1;22.29;33.75;35.57;525.33;273.41;29.22;32.19;11.57;244.6;141.97;26.9;28.38;52.86
HF_F03GL12;1;55.2;30;BornW;Wild;16/03/2020;54.6;43.9;16.3;17.8;24.6;151.9;100.3;183.7;70.3;120.5;33.9;36.4;19.6;22.9;84.7;230.25;17.4;42;55.1;658.7;398.7;56.5;20.42;61.1;583.7;237.4;63.7;58.2;87.8
HF_F04GL12;1;33;30;BornW;Wild;16/03/2020;30.8;26.1;9.3;10.2;13.8;79.4;51.4;94.8;62.9;68.7;34.1;24.6;13;11.7;57;173.58;14.5;29.8;36.8;467.2;290.2;37;14.7;45.3;672.3;196.5;52.4;43.5;71.5
HF_F01GL13;1;45.9;30;BornW;Wild;22/05/2020;103.1;76.8;29.9;29.7;46.7;312.3;176.6;240.7;102.4;212.8;29.9;73.8;27.4;44.2;219.3;595.59;33.1;105.3;140.1;1930.8;988;125.8;45.83;122;421.2;414.6;106.4;109.7;155.6
HF_F05GL13;1;64.1;30;BornW;Wild;22/05/2020;119.3;90.1;38.5;36.7;52.4;274.1;208.8;208.6;124.8;198.1;47.1;56.1;27.8;44.8;139.1;423.66;28;76.7;74.3;1103.5;578.2;72.4;37.92;92.5;616;347.7;86.5;115.1;149.5
HF_M02GL13;1;50.6;30;BornW;Wild;22/05/2020;54.88;40.64;15.47;16.34;26.03;127.5;103.67;122.95;72.46;139.23;38.25;35.28;3.4;21.04;82.56;279.86;16.06;47.28;56.19;790.73;412.04;46.48;23.76;63.71;305.38;189.31;41.94;49.92;65.25
HF_M03GL13;1;49.1;30;BornW;Wild;22/05/2020;210.4;126.6;50.3;52.4;84.6;481.1;336.6;390;136;242;70.4;84;35.5;84.5;205.2;431.64;44.4;102.5;121.6;1124;830.1;114.7;52.31;108.1;587.1;340.8;131.2;173.1;187.3
HF_M04GL13;1;40.6;30;BornW;Wild;22/05/2020;136.34;86.72;31.71;35.82;57.65;344.96;232.41;259.37;108.68;189.07;46.58;54.68;5.2;57.64;137.94;348.14;28.92;66.84;NA;939.18;663.42;61.44;26.81;74.49;491.58;239.74;82.56;135.38;103.57
HF_F04GL14;1;53.5;30;BornW;Wild;03/07/2020;28.2;21.02;7.18;8.07;11.98;59.52;50.59;49.31;25.31;41.41;12.53;10.92;5.51;9.37;20.58;51.88;4.86;9.86;11.09;126.79;96.73;21.52;4.53;9.58;95.25;32.74;10.17;25.96;14.48
HF_F05GL14;1;52.5;30;BornW;Wild;03/07/2020;111.16;79.76;26.74;31.01;50.32;228.97;164.27;249.58;89.05;182.78;42.09;59.98;4.56;36.77;133.74;377.23;23.02;63.68;NA;971.67;520.15;68.42;34.33;83.72;334.7;253.65;67.19;117.19;86.45
HF_M01GL14;1;44.2;30;BornW;Wild;03/07/2020;164.5;117.3;39.4;45.9;69.6;355.9;268.3;274.7;120.8;232.5;46.1;57.5;30.5;59.9;148.4;413.92;32.8;83.1;88.8;1099.8;795;88.8;37.82;104.7;572.1;313.3;80.9;225.7;150.3
HF_M02GL14;1;51.5;30;BornW;Wild;03/07/2020;125.56;84.48;28.35;31.98;46.36;292.48;224.14;270.59;87.57;152.69;49.15;50;3.98;55.67;107.09;249.09;21.2;48;50.79;596.87;560.53;52.16;25.73;56.96;414.03;162.1;52.17;112.67;73.38
HF_M03GL14;1;61.9;30;BornW;Wild;03/07/2020;25.24;18.69;6.16;7.24;10.81;49.1;47.28;48.38;19.42;40.05;6.98;10.99;4.94;10.51;20.91;65.04;4.28;11.96;11.72;164.96;108.59;21.76;3.64;12.63;101.03;40.91;9.87;26.63;18.29
HF_M06GL14;1;52.8;30;BornW;Wild;03/07/2020;92.64;71.36;29.12;32.02;59.92;251.12;165.8;187.7;97.48;149.23;49.59;60.58;11.94;49.23;89.99;223.34;24.55;63.5;56.21;608.71;434.92;48.83;22.48;62.58;411.31;140.82;56.69;91.34;60.99
HF_F02GL17;1;57;30;BornW;Wild;28/09/2020;39.37;27.49;10.29;10.59;15.41;125.78;64.26;99.76;114.3;59.03;25.2;19.07;9.97;16.01;38.83;99.96;8.64;19.33;21.91;260.7;150.89;18.3;7.76;18.55;262.61;80.52;12.61;39.17;18.37
HF_F03GL17;1;61.9;30;BornW;Wild;28/09/2020;23.26;15.87;6.38;7.36;11.19;81.34;37.47;102.19;59.33;58.79;31.44;21.25;6.82;8.28;47.49;153.51;9.04;28.02;27.24;377.84;247.04;21.93;8.63;26.01;184.55;112.46;26.89;26.5;38.3
HF_F05GL17;1;66.3;30;BornW;Wild;28/09/2020;27.21;18.36;7.79;7.71;10.5;95.39;38.88;103.75;92.91;58.14;33.38;20.52;9.08;10.38;54.49;158.57;9.53;26.27;27.59;399.91;211.54;24.4;7.14;22.31;156.54;110.69;23.98;24.69;43.17
HF_M01GL17;1;71.7;30;BornW;Wild;28/09/2020;48.73;24.7;9.17;12.4;13.47;284.06;78.66;182.37;336.07;98.05;51.06;33.82;11.42;18.53;68.95;271.65;23.73;49.99;46.14;601.06;410.32;33.56;18.71;48.77;254.59;231.72;51.36;46.3;74.24
HF_M04GL17;1;52.5;30;BornW;Wild;28/09/2020;158.3;105.4;39.9;42.8;54.6;356.1;206.8;262.3;126.2;213;52.2;58.7;33.2;53;156.5;470.47;29.3;83.2;94.3;1252.8;744.6;99.1;41.9;88.7;664.2;379;83;125.3;154.2
HF_M06GL17;1;77.8;30;BornW;Wild;28/09/2020;109.24;91.38;44.21;28.53;44.96;199.81;146.3;157.73;186.04;155.97;63.25;33.9;16.98;28.51;101.43;225.86;19.96;43.62;43.31;622.95;356.81;36.29;18.02;40.54;209.58;174.29;27.72;50.06;51.31
HF_F01GL18;1;69.3;30;BornW;Wild;11/01/2021;44.15;33.48;12.65;14.67;17.85;157.71;74.97;120.11;159.59;74.69;35.09;23.53;8.52;14.83;48.78;152.49;11.3;24.94;29.29;368.57;211.42;25.98;8.97;29.06;233.59;111.25;22.1;52.42;41.59
HF_F03GL18;1;64.4;30;BornW;Wild;11/01/2021;111.51;82.87;37.34;36.47;44.8;295.22;172.86;217.57;178.96;168.36;66.14;33.96;29.86;38.78;95.04;221.87;17.57;42.45;47.51;627.03;400.17;43.1;11.98;38.74;196.16;150.92;33.76;65.18;53.83
HF_F04GL18;1;58;30;BornW;Wild;11/01/2021;179.1;100.6;41.6;46.1;55.4;648.9;213.9;465.3;497.4;230.8;86.2;72.9;28.9;59.9;174;540.27;32.6;88.1;109.7;1277;814;107.3;41.84;119.3;693.7;431.3;104.2;131;181
HF_M02GL18;1;60.1;30;BornW;Wild;11/01/2021;35.98;26.99;11.14;11.87;17.43;122.8;45.9;88.24;28.38;50.95;8.61;17.45;8.77;10.88;45.43;98.34;6.71;17.22;24.91;293.68;171.38;41.2;5.47;16.01;124.8;71.31;19.04;26.65;30.34
HF_M05GL18;1;68.4;30;BornW;Wild;11/01/2021;28.17;19.32;7.49;10.04;11.49;105.38;44.35;68.61;150.3;52.69;46.17;13.46;8.68;7.5;35.89;130.76;7.53;19.89;23.36;329.75;164.14;18.36;6.92;20.86;163.42;95.87;14.95;25.89;38.28
HF_M06GL18;1;65.3;30;BornW;Wild;11/01/2021;65.21;54.51;20.91;24.1;35.5;279.84;95.35;153.82;141.39;119.39;42.59;34.06;17.78;20.18;75.57;205.42;13.56;40.12;49.82;565.52;350.09;95.53;11.38;44.4;229.13;169.68;42.35;67.64;70.39
HF_F04GL20;1;64.9;30;BornW;Wild;08/03/2021;66.5;56.3;23.18;22.06;30.92;183.7;83.89;124.41;106.58;101.55;28.08;27.12;16.26;16.43;62.94;132.29;10.4;21.8;37.56;350.19;179.51;27.53;24.98;6.79;95.9;89.35;20.29;29.55;33.52
HF_F05GL20;1;62.2;30;BornW;Wild;08/03/2021;66.74;53.51;21.56;20.82;26.98;205.38;94.52;143.97;173.71;131.82;51.38;30.92;23.34;21.06;82.34;221.5;13.41;34.53;45.42;663.36;316.38;34.87;33.53;10.95;101.33;144.43;28.51;37.91;51.4
HF_M01GL20;1;62.5;30;BornW;Wild;08/03/2021;33.25;22.75;9.21;9.76;12.38;145.52;42.16;81.82;134.97;55.38;29.88;13.96;9.36;8.58;38.1;108.16;6.34;15.11;23.92;303.13;134.13;20.78;18.41;5.31;119.78;78.13;14;17.14;24.18
HF_M02GL20;1;63.9;30;BornW;Wild;08/03/2021;39.72;29.29;11.71;10.68;15.37;126.79;50.73;82.77;130.31;69.05;26.51;20.32;10.12;9.24;42.68;109.43;8.04;16.19;28.68;321;166.26;21.03;21.8;5.95;129.14;78.46;15.79;23.51;24.42
HF_M03GL20;1;62.4;30;BornW;Wild;08/03/2021;36.37;27.64;10.67;9.6;15.61;108.01;50.3;75.43;104.24;62.7;26.07;18.57;10.8;11.73;41.87;115.94;8.27;16.88;25.41;315.15;169.93;16.38;26.67;6.09;102.78;75.86;14.19;24.05;25.43
HF_M06GL20;1;62.7;30;BornW;Wild;08/03/2021;74.43;65.82;25.72;23.33;38.03;171.89;115.35;142.54;107.94;131.72;34.2;34.71;18.66;23.47;84.77;241.08;15.71;37.99;53.41;710.97;375.01;40.39;59.12;11.1;111.74;167.03;36.87;54.32;58.31
HF_F01GL22;1;74.1;30;BornW;Wild;28/05/2021;65.86;43.83;19.61;17.85;27.86;137.48;121.07;133.27;97.96;101.7;37.51;29.95;14.44;31.81;68.33;194.06;17.03;36.1;39.67;533.91;397.38;29.93;9.33;38.98;170.2;150.61;35.43;63.38;51.87
HF_F04GL22;1;60.9;30;BornW;Wild;28/05/2021;36.64;16.15;6.47;7.88;11.87;122.2;91.11;99.4;134.6;70.62;43.67;17.92;11.96;23.93;43.43;153.03;9.34;25.1;33.65;419.74;280.04;26.46;6.75;24.08;179.98;120.92;20.16;31.97;39.77
HF_F07GL22;1;63.8;30;BornW;Wild;28/05/2021;86.71;56.16;24.57;20.25;37.38;163.36;238.29;171.89;95.39;134.36;41.05;35.62;21.23;73.03;76.22;204.98;21.42;44.21;46.08;613.6;548.17;38.79;10.97;48.65;181.2;170.13;34.62;77.18;60.37
