Id;SplBatch;SplMass;StdStig;Origin;Group;Squalene;Unknown1;Cholest-2-ene;Unknown2;Cholest-3,5-diene;Ergosta-5,22-dien-3-ol;Unknown 3;Stigmasta-3,5-diene;C28H42O;Cholesterol;Cholestanol;Unknown 4;14a-methylcholest-9(11)-en-3b-ol;Lathosterol;Episterol;Stigmasterol;4a,14a-dimethylcholest-9(11)-en-3b-ol;Dihydroparkeol;Avenesterol;Unknown 5
HF_U05_Can;13;98.3;10;BornCap;BornCap;253231.85;142470.24;588305.17;643738.43;1073586.91;669785.22;641366.41;597292.95;2131409.14;208410.14;242728.97;368386.36;593406.16;1119866.46;436210.08;1292787.6;156243.67;42236.62;397849.1;696762.49
HF_U06_Can;13;98.2;10;BornCap;BornCap;301652.68;142087;738038.51;742865.23;1360891.71;789759.38;417052.63;587988.94;1809602.79;260993.19;191266.96;339228.51;562541.31;933793.04;370577.24;2060806.53;136179.64;38021;315607.4;466119.13
HF_U01_Bre;14;96.8;10;BornCap;BornCap;341152.79;924786.25;2413845.37;3666606.36;5693100.62;3286225.38;2865383.22;2175500.83;1917431.42;292651.06;397110.71;660972.33;387029.27;1124310.83;674974.15;2040320.54;316818.66;183202.55;371126.17;180836.79
HF_U02_Bre;14;101.5;10;BornCap;BornCap;243546.12;303803.23;867301.86;1280035.04;1994950.56;1091619.8;932209.21;704994.11;692144.04;136147.79;166359.62;488119.49;157910.25;924677.77;479917.33;1709659.57;229660.29;35911.8;238635.19;132180.91
HF_U04_Bre;14;99.2;10;BornCap;BornCap;199789.41;1323809.17;2944381.68;4697621.86;6920173.91;4371036.55;3517715.75;2656919.71;2139227.29;304969.11;335742.01;740760.5;424633.58;1361947.67;723293.41;3289310.87;346996.72;219953.15;454288.11;174433.61
HF_U05_Bre;14;100.4;10;BornCap;BornCap;717795.05;883471.55;1548801.17;2528309.4;3564279.24;2001097.68;1700498.27;1271097.36;1056033.29;273405.68;219104.37;687405.09;199672.76;1184904.86;609612.28;2240085.74;339190.81;71159.8;347575.59;165359.72
HF_U06_Bre;14;100.8;10;BornCap;BornCap;386649.24;354158.19;866603.56;1327828.51;1875441.6;1036832.68;975672.58;771642.2;761706.05;157972.24;254658.53;685922.76;264294.87;1170823.7;511923.37;1738184.31;314113.12;369386.12;308090.14;162235.56
HF_3A1_Br2;15;99.1;10;BornCap;BornCap;89337.25;318261.62;843810.84;987563.51;1764918.27;1373155.97;673873.26;535695.04;319444.71;309939.37;183425.78;266666.21;145135.95;755797.38;486871.7;736192.11;115320.54;237784.61;164022.38;67024.79
HF_3D1_Br2;15;100.6;10;BornCap;BornCap;114468.9;353020.39;794835.91;987474.76;1610139.07;1589730.85;687431.17;619403.8;364432.27;244823.61;180068.55;369827.4;215305.54;788966.72;496683.02;1060932.9;113566.33;268429.74;199629.95;85937.78
HF_3A2_Br2;15;99.6;10;BornCap;BornCap;78588.63;190845.65;674790.56;658590.72;1246724.29;864144.04;430697.11;353522.66;203590.2;251487.33;161361.38;207798.8;115436.46;627804.51;391642.88;550661.07;89197.68;187982.72;123013.6;46279.74
HF_3C2_Br2;15;98.1;10;BornCap;BornCap;3001.89;66267.88;200626.09;179432.1;427488.65;251952.98;127882.37;124546.19;66422.26;77744.16;24176.04;28739.06;8370.23;77257.04;52171.44;75308.2;17621.13;23586.33;14792.55;6386.3
HF_3C3_Br2;15;98.7;10;BornCap;BornCap;51299.73;140357.59;409257.78;470187.52;860357.51;611599.96;318652.62;256947.82;140737.95;110420.53;48817.92;107376.5;50621.6;228444.5;157039.19;306911.17;32882.74;89223.36;48581.63;17430.75
HF_3D3_Br2;15;100;10;BornCap;BornCap;95154.79;273784.79;612077.02;722606.28;1260529.5;1000083.63;480922.06;413095.91;228100.05;166025.61;98434.14;202851.41;99504.11;476092.38;296000.29;702277.76;71818.43;183398.92;108783.7;41872.37
